stagione,posizione_finale_in_classifica,punti,gol_fatti,gol_subiti,differenza_reti,valore_rosa,entrate,spese,netto_spesa_guadagno_calciomercato,eta_media
2011/2012,1,84,68,20,48,262.28,20.7,101.8,-81.1,28.2
2012/2013,1,87,71,24,47,337.9,23.3,72.8,-49.5,26.8
2013/2014,1,102,80,23,57,391.45,69.09,49.5,19.59,26
2014/2015,1,87,72,24,48,329,25.91,55.1,-29.19,27.4
2015/2016,1,91,75,20,55,440,81.28,153.5,-72.22,25.9
2016/2017,1,91,77,27,50,497.18,176.93,202.23,-25.3,26.6
2017/2018,1,95,86,24,62,653.15,145.65,178,-32.349999999999994,26.9
2018/2019,1,90,70,30,40,871.05,112.54,265.3,-152.76,25.4
2019/2020,1,83,76,43,33,661.88,208.14,235.3,-27.16,27.2
2020/2021,4,78,77,38,39,633.3,110.56,162.81,-52.25,25.2
2021/2022,4,70,57,37,20,642.5,64.03,141.65,-77.61999999999999,25.5
2022/2023,7,62,56,33,23,483.13,111.59,122.75,-28.72,25.9
2023/2024,3,71,54,31,23,504.53,66.73,95.45,-28.72,25.2
2024/2025,4,70,58,35,23,623.2,111.03,197,-85.97,25.6
